Dataset,Model,Accuracy,Precision,Recall,F-Score,ROC-AUC
JM1,DNN_Shallow,0.686,0.756,0.686,0.71,0.696
JM1,DNN_Medium,0.693,0.753,0.693,0.713,0.669
JM1,DNN_Deep,0.694,0.743,0.694,0.712,0.639
JM1,DNN_Wide,0.695,0.736,0.695,0.711,0.635
KC3,DNN_Shallow,0.711,0.801,0.711,0.735,0.707
KC3,DNN_Medium,0.666,0.759,0.666,0.692,0.709
KC3,DNN_Deep,0.697,0.816,0.697,0.723,0.759
KC3,DNN_Wide,0.728,0.789,0.728,0.745,0.751
MC1,DNN_Shallow,0.943,0.976,0.943,0.957,0.776
MC1,DNN_Medium,0.968,0.974,0.968,0.971,0.732
MC1,DNN_Deep,0.969,0.975,0.969,0.972,0.756
MC1,DNN_Wide,0.974,0.977,0.974,0.975,0.765
MC2,DNN_Shallow,0.694,0.693,0.694,0.67,0.663
MC2,DNN_Medium,0.662,0.676,0.662,0.644,0.723
MC2,DNN_Deep,0.687,0.727,0.687,0.681,0.765
MC2,DNN_Wide,0.72,0.748,0.72,0.714,0.744
MW1,DNN_Shallow,0.752,0.912,0.752,0.805,0.743
MW1,DNN_Medium,0.836,0.908,0.836,0.864,0.748
MW1,DNN_Deep,0.776,0.874,0.776,0.806,0.705
MW1,DNN_Wide,0.788,0.891,0.788,0.822,0.717
PC1,DNN_Shallow,0.8,0.91,0.8,0.84,0.838
PC1,DNN_Medium,0.845,0.905,0.845,0.868,0.859
PC1,DNN_Deep,0.887,0.907,0.887,0.894,0.844
PC1,DNN_Wide,0.872,0.901,0.872,0.882,0.863
PC2,DNN_Shallow,0.844,0.967,0.844,0.893,0.809
PC2,DNN_Medium,0.946,0.961,0.946,0.952,0.797
PC2,DNN_Deep,0.946,0.965,0.946,0.953,0.778
PC2,DNN_Wide,0.945,0.961,0.945,0.951,0.776
PC3,DNN_Shallow,0.761,0.881,0.761,0.798,0.836
PC3,DNN_Medium,0.803,0.849,0.803,0.82,0.807
PC3,DNN_Deep,0.836,0.852,0.836,0.842,0.814
PC3,DNN_Wide,0.839,0.862,0.839,0.848,0.804
PC4,DNN_Shallow,0.862,0.902,0.862,0.875,0.914
PC4,DNN_Medium,0.884,0.908,0.884,0.892,0.916
PC4,DNN_Deep,0.895,0.907,0.895,0.898,0.924
PC4,DNN_Wide,0.89,0.901,0.89,0.894,0.912
PC5,DNN_Shallow,0.664,0.737,0.664,0.682,0.753
PC5,DNN_Medium,0.711,0.761,0.711,0.724,0.777
PC5,DNN_Deep,0.723,0.756,0.723,0.733,0.769
PC5,DNN_Wide,0.698,0.755,0.698,0.713,0.768
